Country,Company,Title,Category,Location,Date Posted,Link
Australia,Baker Hughes,Emerging Talent: LEAD - Field Engineer (Australia) 2026 Opportunities,Human Resources,"Jandakot, Australia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/AU-WA-OTHER-WESTERN-AUSTRALIA/Early-Career--LEAD---Field-Engineer--Australia--2026-Opportunities_R158894/apply
Italy,Baker Hughes,Emerging Talent – HSE Intern 2026 Opportunities (Florence),Graduate & Internship,"Florence, Italy",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IT-FI-FLORENCE-VIA-FELICE-MATTEUCCI-2/Emerging-Talent---HSE-Intern-2026-Opportunities--Florence-_R162173/apply
Uzbekistan,Baker Hughes,Emerging Talent: LEAD - Field Engineer (Uzbekistan) 2026 Opportunities,Human Resources,"Tashkent, Uzbekistan",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/UZ-TASHKENT-TASHKENT-BOBUR-STR-73-YAKKASARAY-DISTRICT/Emerging-Talent--LEAD---Field-Engineer--Uzbekistan--2026-Opportunities_R161433/apply
United States of America,Baker Hughes,"Senior Associate - BD, Capital Solutions",Management & Administration,"Houston, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-TX-HOUSTON-575-N-DAIRY-ASHFORD-RD-ENERGY-CENTER-II-EC2/Senior-Associate---BD--Capital-Solutions_R161006-1/apply
UK,Baker Hughes,12-month Emerging Talent – Purchasing Intern 2026 Opportunities (Montrose),Graduate & Internship,"Montrose, UK",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/GB-AN-MONTROSE-CHARLETON-ROAD/Emerging-Talent---Purchasing-Intern-2026-Opportunities--Montrose-_R159882/apply
UK,Baker Hughes,12-month Emerging Talent – Sourcing Intern 2026 Opportunities (Nailsea),Graduate & Internship,"Nailsea, UK",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/GB-SO-NAILSEA-2-HIGH-STREET/Emerging-Talent---Sourcing-Intern-2026-Opportunities--Nailsea-_R159881/apply
United States of America,Baker Hughes,R&D Optical Engineer,Management & Administration,"Skaneateles, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-NY-SKANEATELES-721-VISIONS-DRIVE/R-D-Optical-Engineer_R161823-1/apply
Poland,Baker Hughes,"Senior Engineer, Disciplinary Engineering and Science - Electrical",Electrical & Instrumentation,"Warsaw, Poland",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/PL-PDK-WARSAW-ALEJA-KRAKOWSKA-110114-BLD-3014613/Senior-Engineer--Disciplinary-Engineering-and-Science---Electrical_R159999/apply
UK,Baker Hughes,12-month Emerging Talent – Purchasing Intern 2026 Opportunities (Aberdeen),Graduate & Internship,"Aberdeen, UK",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/GB-AC-ABERDEEN-BRIDGE-OF-DON-INDUSTRIAL-ESTATE/Emerging-Talent---Purchasing-Intern-2026-Opportunities--Aberdeen-_R159887/apply
UK,Baker Hughes,12-month Emerging Talent – Quality Intern 2026 Opportunities (Aberdeen),Graduate & Internship,"Aberdeen, UK",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/GB-AC-ABERDEEN-BRIDGE-OF-DON-INDUSTRIAL-ESTATE/Emerging-Talent---Quality-Intern-2026-Opportunities--Aberdeen-_R159885-1/apply
UK,Baker Hughes,12-month Emerging Talent – Engineering Intern 2026 Opportunities (Nailsea),Graduate & Internship,"Nailsea, UK",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/GB-SO-NAILSEA-2-HIGH-STREET/Emerging-Talent---Engineering-Intern-2026-Opportunities--Nailsea-_R159886/apply
Malaysia,Baker Hughes,Senior Production Technologist,Operations & Process,"Kuala Lumpur, Malaysia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/MY-KUL-KUALA-LUMPUR-21ST-FLOOR-MENARA-TAN--TAN/Senior-Production-Technologist_R158482/apply
Malaysia,Baker Hughes,Sourcing Professional - Buying/Procurement,Supply Chain,"Kuala Lumpur, Malaysia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/MY-KUL-KUALA-LUMPUR-21ST-FLOOR-MENARA-TAN--TAN/Sourcing-Professional---Buying-Procurement_R162237/apply
India,Baker Hughes,"Software Engineering Manager (C#, WPF, X-Ray/NDT)",Inspection & Integrity,"Bangalore, India",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IN-KA-BANGALORE-NEON-BUILDING-WEST-TOWER/Software-Engineering-Manager--C---WPF--X-Ray-NDT-_R160981/apply
Mexico,Baker Hughes,ITC Program Manager,Management & Administration,"Veracruz, Mexico",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/MX-OTHER-MEXICO/ITC-Program-Manager_R157901/apply
United States of America,Baker Hughes,IT Sourcing Category Manager – Software & Cloud,IT & Digital,"Houston, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-TX-HOUSTON-575-N-DAIRY-ASHFORD-RD-ENERGY-CENTER-II-EC2/IT-Sourcing-Category-Manager---Software---Cloud_R161596-1/apply
United States of America,Baker Hughes,Field Specialist - Fishing Services,Management & Administration,"Pleasanton, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-TX-PLEASANTON-6938-FARM-TO-MARKET-ROAD-1784/Field-Specialist---Fishing-Services_R161854/apply
Australia,Baker Hughes,AMO Technician - Electromechanical II,Electrical & Instrumentation,"Roma, Australia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/AU-Queensland-Roma-126-Corfe-Street/AMO-Technician---Electromechanical-II_R161750/apply
Australia,Baker Hughes,AMO Technician - Electro Mech II,Electrical & Instrumentation,"Roma, Australia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/AU-Queensland-Roma-126-Corfe-Street/AMO-Technician---Electro-Mech-II_R161753/apply
Australia,Baker Hughes,AMO Technician - Electromechanical II,Electrical & Instrumentation,"Roma, Australia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/AU-Queensland-Roma-126-Corfe-Street/AMO-Technician---Electromechanical-II_R161751/apply
UK,Baker Hughes,"​​Lead System Engineer  (Generator, Motor, PRISMIC, Synchronous Condenser)​",Human Resources,"Ashby de la Zouch, UK",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/GB-Ashby-de-la-Zouch-Power-House-Excelsior-Road/XMLNAME---Lead-System-Engineer---Generator--Motor--PRISMIC--Synchronous-Condenser--_R158903/apply
UK,Baker Hughes,"Lead Engineer, Mechanical, Customer Order Engineering - Customer Application Engineering (Subsea Wellhead Casing Solution)",Mechanical & Structural,"Aberdeen, UK",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/GB-AC-ABERDEEN-BAKER-HUGHES-BUILDING/Customer-Application-Engineer_R162288/apply
Italy,Baker Hughes,Mechanical Field Service Engineer for ITP,Mechanical & Structural,"Florence, Italy",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IT-FI-FLORENCE-VIA-FELICE-MATTEUCCI-2/Mechanical-Field-Service-Engineer-for-ITP_R158505/apply
Singapore,Baker Hughes,"Lead Engineer, Mechanical, Customer Order Engineering - Customer Application Engineering (Subsea Wellhead Casing Solution)",Mechanical & Structural,"Singapore, Singapore",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/SG-SINGAPORE-2-BENOI-ROAD/Engineering-Specialist---Customer-Application-Engineering_R160590/apply
Czechia,Baker Hughes,Quality Engineer (ž/m),Management & Administration,"Pilsen, Czechia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/CZ-DOUDLEVCE-PILSEN-EDVARDA-BENESE-56439/Inenr-kvality---Engineering----m-_R157088/apply
