"Country","Company","Title","Category","Location","Date Posted","Link"
"France","ENI","PROJECT ENGINEER","Engineering & Technical","Levallois-Perret, Hauts-de-Seine, France","2026-03-18","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33145"
"France","ENI","ROUTE TO MARKET MANAGER","Management","Levallois-Perret, Hauts-de-Seine, France","2026-03-18","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33146"
"France","ENI","ASSET MANAGEMENT SPECIALIST","Management","Levallois-Perret, Hauts-de-Seine, France","2026-03-18","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33144"
"Italy","ENI","EXPERT TECNICO OPERATIVO DI IMPIANTO H2","Operations & Maintenance","Venezia, Italy","2026-03-17","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32615"
"Italy","ENI","EXPERT OPERATORE DI IMPIANTO H2","Operations & Maintenance","Venezia, Italy","2026-03-17","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32616"
"UK","ENI","Senior D&IT Business Analyst","Digital & IT","London, United Kingdom","2026-03-16","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33125"
"UK","ENI","SENIOR PRODUCTS OPERATOR","Operations & Maintenance","United Kingdom","2026-03-16","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32994"
"Italy","ENI","ENI ENGINEERING ACADEMY - JUNIOR INGEGNERIA DI PROCESSO","Internship & Graduate","San Donato Milanese, Milano, Italy","2026-03-13","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33072"
"Italy","ENI","ENI ENGINEERING ACADEMY - JUNIOR DEEPWATER AND SUBSEA","Internship & Graduate","San Donato Milanese, Milano, Italy","2026-03-13","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33074"
"Italy","ENI","ENI ENGINEERING ACADEMY - JUNIOR INGEGNERIA DI STRUMENTAZIONE/AUTOMAZIONE","Internship & Graduate","San Donato Milanese, Milano, Italy","2026-03-13","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33075"
"Italy","ENI","ENI ENGINEERING ACADEMY - JUNIOR INGEGNERIA MATERIALI & CORROSIONE","Internship & Graduate","San Donato Milanese, Milano, Italy","2026-03-13","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33077"
"Italy","ENI","ENI ENGINEERING ACADEMY - JUNIOR INGEGNERIA OPERE CIVILI","Internship & Graduate","San Donato Milanese, Milano, Italy","2026-03-13","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33076"
"Italy","ENI","ENI ENGINEERING ACADEMY - JUNIOR INGEGNERIA DI MANUTENZIONE","Internship & Graduate","San Donato Milanese, Milano, Italy","2026-03-13","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33083"
"Italy","ENI","ENI ENGINEERING ACADEMY - JUNIOR INGEGNERIA DEI SISTEMI DI SICUREZZA","Internship & Graduate","San Donato Milanese, Milano, Italy","2026-03-13","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33078"
"Italy","ENI","ENI ENGINEERING ACADEMY - JUNIOR STRUTTURE OFFSHORE","Internship & Graduate","San Donato Milanese, Milano, Italy","2026-03-13","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33080"
"Italy","ENI","ENI ENGINEERING ACADEMY - JUNIOR INGEGNERIA PIPING & LAYOUT","Internship & Graduate","San Donato Milanese, Milano, Italy","2026-03-13","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33082"
"Italy","ENI","ENI ENGINEERING ACADEMY - JUNIOR INGEGNERIA OPERE CIVILI","Internship & Graduate","San Donato Milanese, Milano, Italy","2026-03-13","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33085"
"Italy","ENI","GEMS Geoscience for Energy - Eni Master School – 4th edition","Internship & Graduate","San Donato Milanese, Milano, Italy","2026-03-10","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32830"
"UK","ENI","OIL ORIGINATION ANALYST","Drilling & Wells","United Kingdom","2026-03-05","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32170"
"Italy","ENI","EXPERT SALES & MARKETING SERVIZI OIL & GAS","General","San Donato Milanese, Milano, Italy","2026-03-03","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32435"
