"Country","Company","Title","Category","Location","Date Posted","Link"
"USA","Wood","Crane Operator","Other","Baytown, TX, United States","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/25772"
"United Arab Emirates","Wood","PMC Senior Commissioning Manager","Civil & Construction","United Arab Emirates","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26133"
"Saudi Arabia","Wood","Safety Supervisor - HSE","HSE & Environment","Saudi Arabia","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/27829"
"Saudi Arabia","Wood","Area Lead, Process Plant (Chemical & Reagents)","Process & Chemical","Saudi Arabia","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/27940"
"Saudi Arabia","Wood","Area Lead, Process Plant (PT & TBT)","Process & Chemical","Saudi Arabia","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/27942"
"Australia","Wood","Graduate Integrity Engineer","Mechanical & Maintenance","Melbourne, Victoria, Australia","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28019"
"USA","Wood","CWK Principal Flow Assurance Engineer","Engineering","Houston, TX, United States","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28077"
"United Kingdom","Wood","Principal Functional Safety Engineer (PSC)","HSE & Environment","United Kingdom","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28084"
"Colombia","Wood","Engineering Systems Tech Prof III - Eng.Colombia . Engineering Systems:44 Standard Hours","Engineering","Bogota, Colombia","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28124"
"Australia","Wood","Proposals Lead","Other","Perth, Western Australia, Australia","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28219"
"Colombia","Wood","Global Talent Acquisition Coordinator","HR & Training","Bogota, Colombia","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28246"
"United Arab Emirates","Wood","PMC Offshore Construction Manager","Civil & Construction","Abu Dhabi, United Arab Emirates","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28297"
"USA","Wood","QA/QC","Other","Freeport, TX, United States","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28306"
"Canada","Wood","Intermediate Instrumentation & Controls Engineer","Electrical & Instrumentation","Calgary, AB, Canada","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28308"
"Brazil","Wood","Gerente Tecnico de Engenharia Subsea","Other","Rio de Janeiro, RJ, Brazil","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28273"
"Colombia","Wood","Process Designer I.Colombia . Process:44 Standard Hours","Process & Chemical","Bogota, Colombia","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28274"
"Colombia","Wood","Process Designer III","Process & Chemical","Bogota, Colombia","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28275"
"Colombia","Wood","Process Designer I.Colombia . Process:44 Standard Hours","Process & Chemical","Bogota, Colombia","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28276"
"Colombia","Wood","Process Tech Prof III - Eng.Colombia . Process:44 Standard Hours","Process & Chemical","Bogota, Colombia","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28279"
"Colombia","Wood","Process Tech Prof III - Eng.Colombia . Process:44 Standard Hours","Process & Chemical","Bogota, Colombia","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28280"
"Venezuela","Wood","Ingeniero de procesos","Other","Venezuela","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28281"
"Venezuela","Wood","Diseñador de tubería","Other","Venezuela","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28301"
"Canada","Wood","Scaffolder, Journeyperson - Adhoc","Other","St. John's, NL, Canada","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28309"
"USA","Wood","Project Coordinator-Electrical Lead","Electrical & Instrumentation","Longmont, CO, United States","2026-04-01","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28311"
"United Arab Emirates","Wood","PMC Construction Manager (Overall Experience)-Site based","Civil & Construction","Abu Dhabi, United Arab Emirates","2026-03-31","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/25720"
"Brunei Darussalam","Wood","Lead Process Engineer","Process & Chemical","Brunei Darussalam","2026-03-31","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26357"
"Colombia","Wood","Pipe Stress Tech Prof IV - Eng","Civil & Construction","Bogota, Colombia","2026-03-31","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/27580"
"United Kingdom","Wood","Lead C&I Package Engineer","Engineering","United Kingdom","2026-03-31","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/27861"
