"Country","Company","Title","Category","Location","Date Posted","Link"
"USA","KBR","*SkillBridge Only* Senior Operations Coordinator – Government Asset Management (GAM) - Multiple Locations","Internship","USA","2026-03-21","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Tempe-Arizona/XMLNAME--SkillBridge-Only--Senior-Operations-Coordinator---Government-Asset-Management--GAM----Multiple-Locations_R2120607"
"Germany","KBR","LCV APS-2 Germany: Master Mechanic (Tracked Vehicle)","Operations & Technical","Mannheim, Baden-Wurttemberg, Germany","2026-03-21","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Mannheim-Baden-Wurttemberg-Germany/LCV-APS-2-Germany--Master-Mechanic--Tracked-Vehicle-_R2118200"
"USA","KBR","Senior Information Systems Security Officer (ISSO)","Security & Defense","Beavercreek, Ohio","2026-03-21","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Beavercreek-Ohio/Senior-Information-Systems-Security-Officer--ISSO-_R2119783"
"USA","KBR","Special Operations Clinical Psychologist (Fort Bragg,NC)","Operations & Technical","Fort Liberty, North Carolina","2026-03-21","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Fort-Liberty-North-Carolina/Special-Operations-Clinical-Psychologist--Fort-Bragg-NC-_R2120745"
"USA","KBR","Information Technology Technical Support Specialist","IT & Digital","Wallops Island, Virginia","2026-03-21","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Wallops-Island-Virginia/Information-Technology-Technical-Support-Specialist_R2120708-1"
"USA","KBR","COMSEC Key Management Operator","General","Chantilly, Virginia","2026-03-21","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Chantilly-Virginia/COMSEC-Key-Management-Operator_R2120509"
"USA","KBR","GEOINT Operations Systems Engineer","Operations & Technical","Chantilly, Virginia","2026-03-21","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Chantilly-Virginia/GEOINT-Operations-Systems-Engineer_R2118264"
"USA","KBR","MCPP Philippines: Motor Transport Mechanic","Operations & Technical","Jacksonville, Florida","2026-03-21","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Jacksonville-Florida/MCPP-Philippines--Motor-Transport-Mechanic_R2120575"
"USA","KBR","MCPP - SHIPBOARD ENGINEER (CONSTRUCTION) EQUIPMENT MECHANIC","Engineering","USA","2026-03-21","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Jacksonville-Florida/MCPP---SHIPBOARD-ENGINEER--CONSTRUCTION--EQUIPMENT-MECHANIC_R2120299"
"USA","KBR","Junior Space Suit Design Engineer","General","Webster, Texas","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Webster-Texas/Junior-Space-Suit-Design-Engineer_R2120717"
"USA","KBR","Senior Design Engineer","General","Webster, Texas","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Webster-Texas/Senior-Design-Engineer_R2120644"
"USA","KBR","Vulnerability Researcher","Science & Research","Beavercreek Township, Ohio","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Beavercreek-Township-Ohio/Vulnerability-Researcher_R2119382"
"Saudi Arabia","KBR","PSAB ESS: Electrical Engineer (Secret Clearance)","Instrumentation & Electrical","Saudi Arabia","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Saudi-Arabia/PSAB-ESS--Electrical-Engineer--Secret-Clearance-_R2118076-1"
"USA","KBR","DOE Program Director","General","USA","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Chantilly-Virginia/DOE-Program-Director_R2116513"
"Diego Garcia/BIOT","KBR","DIEGO GARCIA: Deputy Fire Services Chief","General","Diego Garcia, British Indian Ocean Territory","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Diego-Garcia-British-Indian-Ocean-Territory/DIEGO-GARCIA--Deputy-Fire-Services-Chief_R2120573"
"USA","KBR","Lead Capture Manager - IC","General","Chantilly, Virginia","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Chantilly-Virginia/Lead-Capture-Manager---IC_R2120691"
"USA","KBR","Remote Deputy Program Manager (Behavioral Healthcare Operations)","Operations & Technical","USA","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Houston-Texas/Remote-Deputy-Program-Manager--Behavioral-Healthcare-Operations-_R2120705"
"USA","KBR","Digital Modeling Engineer","IT & Digital","Chantilly, Virginia","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Chantilly-Virginia/Digital-Modeling-Engineer_R2120246-1"
"USA","KBR","Electronic Technician Maintenance III","Operations & Technical","Beaufort, South Carolina","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Beaufort-South-Carolina/Electronic-Technician-Maintenance-III_R2120698"
"USA","KBR","Junior Technical Writer","General","Huntsville, Alabama","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Huntsville-Alabama/Junior-Technical-Writer_R2120695"
"USA","KBR","Knowledge Management Specialist","General","Chantilly, Virginia","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Chantilly-Virginia/Knowledge-Management-Specialist_R2120667"
"USA","KBR","MCPP - Production Planning Analyst","Science & Research","USA","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Jacksonville-Florida/MCPP---Production-Planning-Analyst_R2120606-1"
"USA","KBR","Analysis and Assessments Support – Subject Matter Expert","General","Colorado Springs, Colorado","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Colorado-Springs-Colorado/Analysis-and-Assessments-Support---Subject-Matter-Expert_R2120692"
"USA","KBR","Associate Metrology Technician","Operations & Technical","Phoenix, Arizona","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Phoenix-Arizona/Associate-Metrology-Technician_R2120670"
"USA","KBR","Senior Software Engineers and Front-End Engineers","IT & Digital","Dayton, Ohio","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Dayton-Ohio/Senior-Software-Engineers-and-Front-End-Engineers_R2120042"
"USA","KBR","FMS Analyst","Science & Research","Huntsville, Alabama","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Huntsville-Alabama/FMS-Analyst_R2119540-1"
"Qatar","KBR","Rigging Supervisor","General","Ad Dawhah, Qatar","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Ad-Dawhah-Qatar/Rigging-Supervisor_R2119741"
"Qatar","KBR","Instrument / Automation Technician","Instrumentation & Electrical","Ad Dawhah, Qatar","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Ad-Dawhah-Qatar/Instrument---Automation-Technician_R2119742"
"Qatar","KBR","Technical professional (Mechanical)","Operations & Technical","Ad Dawhah, Qatar","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Ad-Dawhah-Qatar/Technical-professional--Mechanical-_R2119744"
"Qatar","KBR","Electrical Supervisor","General","Ad Dawhah, Qatar","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Ad-Dawhah-Qatar/Electrical-Supervisor_R2114908"
"Qatar","KBR","HVAC Supervisor","General","Ad Dawhah, Qatar","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Ad-Dawhah-Qatar/HVAC-Supervisor_R2119740"
"Qatar","KBR","Mechanical Supervisor","Operations & Technical","Ad Dawhah, Qatar","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Ad-Dawhah-Qatar/Mechanical-Supervisor_R2119743"
"Australia","KBR","Principal Road Designer","General","Perth, Western Australia, Australia","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Perth-Western-Australia-Australia/Principal-Road-Designer_R2120112-1"
"Diego Garcia/BIOT","KBR","DG BOSS: Custodian (FN)","General","Diego Garcia, British Indian Ocean Territory","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Diego-Garcia-British-Indian-Ocean-Territory/DG-BOSS--Custodian--FN-_R2120447"
"Diego Garcia/BIOT","KBR","DG BOSS: Marine Painter/Sandblaster (FN)","Marine & Offshore","Diego Garcia, British Indian Ocean Territory","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Diego-Garcia-British-Indian-Ocean-Territory/DG-BOSS--Marine-Painter-Sandblaster--FN-_R2120445"
"Diego Garcia/BIOT","KBR","DG BOSS: Sheet Metal Worker (FN)","General","Diego Garcia, British Indian Ocean Territory","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Diego-Garcia-British-Indian-Ocean-Territory/DG-BOSS--Sheet-Metal-Worker--FN-_R2120446"
"Diego Garcia/BIOT","KBR","DG BOSS: Marine Inboard Mechanic (FN)","Marine & Offshore","Diego Garcia, British Indian Ocean Territory","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Diego-Garcia-British-Indian-Ocean-Territory/DG-BOSS--Marine-Inboard-Mechanic--FN-_R2120444"
"Diego Garcia/BIOT","KBR","DG BOSS: LCM Boat Engineer (FN)","Marine & Offshore","Diego Garcia, British Indian Ocean Territory","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Diego-Garcia-British-Indian-Ocean-Territory/DG-BOSS--LCM-Boat-Engineer--FN-_R2120442"
"Diego Garcia/BIOT","KBR","DG BOSS: Hydroblasting Technician (FN)","Operations & Technical","Diego Garcia, British Indian Ocean Territory","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Diego-Garcia-British-Indian-Ocean-Territory/DG-BOSS--Hydroblasting-Technician--FN-_R2120441"
"Saudi Arabia","KBR","PSAB ESS: Utilities AMP Manager (Secret Clearance)","Security & Defense","Saudi Arabia","2026-03-20","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Al-Kharj-Saudi-Arabia/PSAB-ESS--Utilities-AMP-Manager--Secret-Clearance-_R2118475"
"USA","KBR","Database Developer","IT & Digital","Warner Robins, Georgia","2026-03-19","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Warner-Robins-Georgia/Database-Developer_R2120604"
"USA","KBR","Information Systems Security Officer","Security & Defense","Point Mugu, California","2026-03-19","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Point-Mugu-California/Information-Systems-Security-Officer_R2120399"
