Title,Company,Location,Country,Date_Posted,Job_URL
Ecuador-Francisco de Orellana-Especialista de Logística,Halliburton,"Coca, Provincia del Azuay , Ecuador",Ecuador,2026-03-16,https://careers.halliburton.com/en/job/coca/ecuador-francisco-de-orellana-especialista-de-logistica/543/92856780384
Aberdeen - Demand Planning,Halliburton,"Aberdeen, Scotland , United Kingdom",United Kingdom,2026-03-26,https://careers.halliburton.com/en/job/aberdeen/aberdeen-demand-planning/543/89824708400
Credit and Risk- Account Analyst/ Representative/ Sr. Representative,Halliburton,"Bengaluru, Karnataka , India",India,2026-03-26,https://careers.halliburton.com/en/job/bengaluru/credit-and-risk-account-analyst-representative-sr-representative/543/93221527504
Stockpoint Truck Driver - Senior Stockpoint Truck Driver - Baroid,Halliburton,"Westlake, Calcasieu, LA , United States",United States,2026-03-26,https://careers.halliburton.com/en/job/westlake/stockpoint-truck-driver-senior-stockpoint-truck-driver-baroid/543/93221527680
Summer Internship - Oslo - Multidisciplinary Engineering & Technology Intern,Halliburton,"Oslo, Oslo County , Norway",Norway,2026-03-26,https://careers.halliburton.com/en/job/oslo/summer-internship-oslo-multidisciplinary-engineering-and-technology-intern/543/93221527664
"Field Prof, Assoc-L&P",Halliburton,"Al Ahmadi, Al Aḩmadī , Kuwait",Kuwait,2026-03-26,https://careers.halliburton.com/en/job/al-ahmadi/field-prof-assoc-l-and-p/543/93221527648
Mechanical Assembler - Arbroath,Halliburton,"Arbroath, Scotland , United Kingdom",United Kingdom,2026-03-26,https://careers.halliburton.com/en/job/arbroath/mechanical-assembler-arbroath/543/93221527616
Field Service Specialist Assoc-II,Halliburton,"Kuala Lumpur, Kuala Lumpur , Malaysia",Malaysia,2026-03-26,https://careers.halliburton.com/en/job/kuala-lumpur/field-service-specialist-assoc-ii/543/93221527600
Service Operator I-Slickline - Service Supervisor I-Slickline,Halliburton,"Perth, Western Australia , Australia",Australia,2026-03-26,https://careers.halliburton.com/en/job/perth/service-operator-i-slickline-service-supervisor-i-slickline/543/93221527584
"Field Professional, Senior-General (LWD)",Halliburton,"Kuala Lumpur, Kuala Lumpur , Malaysia",Malaysia,2026-03-26,https://careers.halliburton.com/en/job/kuala-lumpur/field-professional-senior-general-lwd/543/93221527568
Intern,Halliburton,"Singapore, Singapore , Singapore",Singapore,2026-03-26,https://careers.halliburton.com/en/job/singapore/intern/543/91934297536
Bit Repair Technician,Halliburton,"Ban Bo Phawong, Nakhon Sawan , Thailand",Thailand,2026-03-26,https://careers.halliburton.com/en/job/ban-bo-phawong/bit-repair-technician/543/93221527536
Country Manager/Area Reliability (Wireline),Halliburton,"Ban Bo Phawong, Nakhon Sawan , Thailand",Thailand,2026-03-26,https://careers.halliburton.com/en/job/ban-bo-phawong/country-manager-area-reliability-wireline/543/93221527488
R&D-Intern,Halliburton,"Singapore, Singapore , Singapore",Singapore,2026-03-26,https://careers.halliburton.com/en/job/singapore/r-and-d-intern/543/91923024608
Senior Accountant - Principal Accountant - Accounting Supervisor,Halliburton,"Bengaluru, Karnataka , India",India,2025-12-02,https://careers.halliburton.com/en/job/bengaluru/senior-accountant-principal-accountant-accounting-supervisor/543/82655027056
Contract Specialist,Halliburton,"Mumbai, Maharashtra , India",India,2026-03-24,https://careers.halliburton.com/en/job/mumbai/contract-specialist/543/93143748368
Field Service Representative - Fluid Performance,Halliburton,"Ban Bo Phawong, Nakhon Sawan , Thailand",Thailand,2026-03-26,https://careers.halliburton.com/en/job/ban-bo-phawong/field-service-representative-fluid-performance/543/89824708384
Human Resource Specialist II - HRBP II,Halliburton,"Zanesville, OH , United States",United States,2026-03-26,https://careers.halliburton.com/en/job/zanesville/human-resource-specialist-ii-hrbp-ii/543/93210050928
Material Coordinator I - Artificial Lift,Halliburton,"Andrews, TX , United States",United States,2026-03-25,https://careers.halliburton.com/en/job/andrews/material-coordinator-i-artificial-lift/543/93205259120
"Account Rep, Bus Dev",Halliburton,"Port Harcourt, Rivers State , Nigeria",Nigeria,2026-03-25,https://careers.halliburton.com/en/job/port-harcourt/account-rep-bus-dev/543/93205258880
Laboratory Technician-Chemistry (Associate to Senior),Halliburton,"Victoria, Victoria, TX , United States",United States,2026-03-25,https://careers.halliburton.com/en/job/victoria/laboratory-technician-chemistry-associate-to-senior/543/93205258800
"Cunduacán, Tabasco, Mexico - Field Engineer MWD, II - Sperry Drilling Svcs",Halliburton,"Cunduacán, Tabasco , Mexico",Mexico,2026-03-17,https://careers.halliburton.com/en/job/cunduacan/cunduacan-tabasco-mexico-field-engineer-mwd-ii-sperry-drilling-svcs/543/92885018224
Operator Asst I-Slickline,Halliburton,"Port Harcourt, Rivers State , Nigeria",Nigeria,2026-03-25,https://careers.halliburton.com/en/job/port-harcourt/operator-asst-i-slickline/543/93198611296
Technical Sales Advisor,Halliburton,"Port Harcourt, Rivers State , Nigeria",Nigeria,2026-03-25,https://careers.halliburton.com/en/job/port-harcourt/technical-sales-advisor/543/93198611280
Panama-Especialista de Recursos Humanos,Halliburton,"Panama City, Provincia de Panamá , Panama",Panama,2026-03-25,https://careers.halliburton.com/en/job/panama-city/panama-especialista-de-recursos-humanos/543/92345570256
Executive Assistant - Principal Executive Assistant,Halliburton,"Houston, TX , United States",United States,2026-03-25,https://careers.halliburton.com/en/job/houston/executive-assistant-principal-executive-assistant/543/93194730240
Fld Svc Rep-Drilling Fluids II,Halliburton,"Hassi Messaoud, Ouargla Province , Algeria",Algeria,2026-03-25,https://careers.halliburton.com/en/job/hassi-messaoud/fld-svc-rep-drilling-fluids-ii/543/89259231888
