Title,Company,Location,Country,Date_Posted,Job_URL
Treasury Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Treasury-Analyst/857023123/
Debt Management Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Debt-Management-Specialist/857021523/
Cash Management Treasury Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Cash-Management-Treasury-Analyst/857023023/
Affiliate Finance Advisor,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Affiliate-Finance-Advisor/857068423/
Crisis and Business Continuity Advisor,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Crisis-and-Business-Continuity-Advisor/857070923/
Petroleum Engineer Systems Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Petroleum-Engineer-Systems-Analyst/857094823/
Safety Engineer - Aviation Operations,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Safety-Engineer-Aviation-Operations/857093923/
Safety Engineer - Marine Operations,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Safety-Engineer-Marine-Operations/857093823/
Sr Counsel - Manufacturing & Power Practice,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Sr-Counsel-Manufacturing-&-Power-Practice/856316523/
Accounting Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Accounting-Analyst/857119923/
Architect,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Architect/856539023/
Process Engineer - Solomon Benchmarking - Refinery Experience Only,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Process-Engineer-Solomon-Benchmarking-Refinery-Experience-Only/855870823/
Upstream & LNG Strategist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Upstream-&-LNG-Strategist/857093323/
Drilling Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Drilling-Engineer/857092723/
Compliance Counsel,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Compliance-Counsel/857119823/
AI Governance Officer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/AI-Governance-Officer/856776223/
Business Development Specialist - Transaction & Execution,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Business-Development-Specialist-Transaction-&-Execution/857091523/
Lead Field Compliance Coordinator,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Lead-Field-Compliance-Coordinator/857067423/
Elementary-Intermediate Teacher,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Elementary-Intermediate-Teacher/857066723/
Mineral Strategy Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Mineral-Strategy-Analyst/857119423/
Speechwriter,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Speechwriter/857091923/
Affiliates Management Advisor - Medical Services,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Affiliates-Management-Advisor-Medical-Services/857091823/
Business Development Specialist - Transaction Execution,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Business-Development-Specialist-Transaction-Execution/857064923/
Process Modeling Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Process-Modeling-Specialist/857089423/
Lead Accounting Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Lead-Accounting-Analyst/856893023/
Sr Strategy & Market Consultant,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Sr-Strategy-&-Market-Consultant/857119023/
Process Simulation Twin & Optimization Engineer - Refinery Experience Only,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Process-Simulation-Twin-&-Optimization-Engineer-Refinery-Experience-Only/857080823/
Onshore Structural Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Onshore-Structural-Engineer/857089523/
Gas & NGL Planning Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Gas-&-NGL-Planning-Engineer/857089323/
Field Compliance Coordinator,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Field-Compliance-Coordinator/857117223/
Facilities Planning Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Facilities-Planning-Engineer/857118423/
